ID	Stromal_score	Immune_score	ESTIMATE_score	CancerType
TCGA-UY-A9PB-01	419.5931994	1811.770364	2231.363563	BLCA
TCGA-E7-A4IJ-01	-1544.496057	454.3180984	-1090.177958	BLCA
TCGA-DK-A3IL-01	-1016.326451	-357.7007904	-1374.027242	BLCA
TCGA-ZF-AA51-01	-243.1947335	1297.814992	1054.620259	BLCA
TCGA-E7-A7PW-01	-2054.825575	-229.9906925	-2284.816267	BLCA
TCGA-FD-A62P-01	-173.7476809	1092.86503	919.1173486	BLCA
TCGA-GV-A40G-01	-1994.679113	-736.1010957	-2730.780209	BLCA
TCGA-GD-A2C5-01	-518.1946571	-75.5274783	-593.7221353	BLCA
TCGA-GU-AATO-01	-305.3286071	1052.715707	747.3870994	BLCA
TCGA-BT-A3PK-01	-40.7314368	890.514146	849.7827092	BLCA
TCGA-K4-A54R-01	0.781541	1270.957266	1271.738807	BLCA
TCGA-DK-A1A6-01	-697.738433	885.5322414	187.7938084	BLCA
TCGA-K4-A5RI-01	-841.6613836	255.8229656	-585.838418	BLCA
TCGA-E7-A519-01	-982.5216326	1153.861547	171.3399145	BLCA
TCGA-2F-A9KO-01	-456.9532201	1339.055341	882.1021207	BLCA
TCGA-XF-A9SZ-01	314.1412766	746.6558643	1060.797141	BLCA
TCGA-DK-A2HX-01	678.7273977	230.0851858	908.8125835	BLCA
TCGA-DK-AA6P-01	-1805.929252	-880.2040674	-2686.133319	BLCA
TCGA-XF-A9SM-01	322.7160252	2322.211732	2644.927757	BLCA
TCGA-S5-A6DX-01	122.5702936	1746.949576	1869.51987	BLCA
TCGA-G2-AA3B-01	-1877.164569	170.2052526	-1706.959317	BLCA
TCGA-GU-AATP-01	217.1607129	648.919325	866.080038	BLCA
TCGA-FD-A43Y-01	-204.2697764	735.5764076	531.3066312	BLCA
TCGA-ZF-A9RE-01	-2187.397298	-368.3783269	-2555.775625	BLCA
TCGA-2F-A9KW-01	-293.4190224	295.1955538	1.7765314	BLCA
TCGA-DK-A1AB-01	564.1460945	890.4890612	1454.635156	BLCA
TCGA-CU-A0YN-01	-438.8653772	836.4543407	397.5889634	BLCA
TCGA-GC-A3BM-01	-1703.379151	-64.4815754	-1767.860726	BLCA
TCGA-FD-A5BV-01	-1269.093804	-520.6823187	-1789.776122	BLCA
TCGA-FD-A3SS-01	-1183.213498	-457.2051076	-1640.418606	BLCA
TCGA-K4-A6FZ-01	-1143.570969	826.5739796	-316.9969891	BLCA
TCGA-GD-A76B-01	-968.1073219	1223.738876	255.6315539	BLCA
TCGA-DK-AA71-01	-1416.917903	-284.1892558	-1701.107159	BLCA
TCGA-4Z-AA7R-01	-1185.479452	-728.8126723	-1914.292125	BLCA
TCGA-ZF-AA58-01	492.9271101	2275.542811	2768.469921	BLCA
TCGA-K4-A6MB-01	-704.5272883	-202.6085198	-907.1358081	BLCA
TCGA-DK-A6B5-01	-1136.833585	683.5629333	-453.2706512	BLCA
TCGA-HQ-A5ND-01	-1866.997009	-137.4600064	-2004.457015	BLCA
TCGA-E7-A8O8-01	-1598.655642	-272.6062224	-1871.261864	BLCA
TCGA-UY-A8OD-01	239.1200793	833.5981408	1072.71822	BLCA
TCGA-E7-A8O7-01	-1514.299803	548.1936874	-966.1061153	BLCA
